check_id,source_id,source_category,title_or_source_title,year,current_status,priority_level,why_priority,manual_task_type,specific_questions_to_answer,evidence_dimension,expected_decision_after_check,needed_for_gap_claim,needed_for_variable_construction,needed_for_official_context,language_or_access_issue,where_to_check,do_not_do,risk_if_unchecked,next_action,notes
MFT_001,R02_CINII_001 / R02_JSTAGE_002,academic_literature,Living conditions and community involvement of highly-educated Chinese-nationality residents in two Greater Tokyo public-housing estates (Wang & Fujii 2021),2021,verified_by_doi_and_metadata; in literature_matrix + gap_matrix; full text not read,P1_must_check_before_intro,strongest Chinese + Tokyo + (public) housing record; sets how the project frames its core partial overlap,full_text_reading,"Focus specifically on Chinese nationals in public housing in metro Tokyo? Only living conditions/community or also opportunity/risk? Any non-Chinese comparison? Covers services/disaster/transit or only housing/community? Treat as housing-module support, public-housing context, or gap boundary?",chinese_residents; tokyo; housing; public_housing; service(partial),add_to_formal_literature_review,yes,no,no,Japanese full text; translation needed,J-STAGE article page (DOI 10.24528/lifology.40.0_54); CiNii crid 1520574047068685952; library,do not download or commit the PDF; do not assert a gap from the abstract,mis-positioning the core partial overlap; over- or under-claiming,read full text and translate key sections,paired CiNii/J-STAGE record (same study); J-STAGE supplies the DOI
MFT_002,R02_CINII_022,academic_literature,"Housing purchase motives and preference of Chinese white-collar residents, Tokyo metropolitan area (Zhang 2020)",2020,verified_by_doi_and_metadata; in literature_matrix + gap_matrix; full text not read,P1_must_check_before_intro,Chinese-specific housing-choice evidence in metro Tokyo; key for the housing module framing,full_text_reading,"Focus on Chinese white-collar housing purchase motivation in metro Tokyo? Include spatial patterns, accessibility, services, or risk? Compare Chinese residents with other foreign groups or Japanese residents? Use as housing-preference literature or as a boundary record?",chinese_residents; tokyo; housing,add_to_formal_literature_review,yes,no,no,Japanese full text; translation needed,J-STAGE article page (DOI 10.4157/grj.93.1); CiNii record,do not download or commit the PDF; do not assert a gap from the abstract,mis-positioning housing-preference evidence,read full text and translate key sections,qualitative (n=22) owner-occupier subset
MFT_003,R02_CINII_018,academic_literature,"Formation factors of Nishikawaguchi Chinatown, Tokyo region (Kawaguchi, Saitama) (Takamatsu 2020)",2020,verified_by_cinii_metadata (partial); in literature_matrix + gap_matrix; full text not read,P1_must_check_before_intro,Chinese concentration area in the Tokyo region; affects the concentration/community dimension,full_text_reading,"Analyze Nishikawaguchi Chinatown as ethnic-community formation, commercial concentration, or residential settlement? Spatial/municipal detail at the metropolitan scale? Opportunity/risk dimensions or only community formation? Background, partial overlap, or boundary literature?",chinese_residents; tokyo_region(Saitama); concentration,add_to_formal_literature_review,partial,no,no,Japanese full text; translation needed,CiNii crid 1520859447979354112; NDL bib,do not download or commit the PDF; do not assert a gap from the abstract,misclassifying enclave-formation evidence,read full text and translate key sections,study area Kawaguchi (Saitama) within greater Tokyo
MFT_004,R02_NDL_043,academic_literature,"Empirical analysis of residential disparity for migrants in Japan's housing market (Kim 2026, book)",2026,verified_by_ndl_metadata; in literature_matrix + gap_matrix; full text not read,P1_must_check_before_intro,recent empirical housing/residential-disparity work; may inform Chinese-vs-non-Chinese framing,full_text_reading,Empirical evidence on immigrant housing inequality in Japan? Include Chinese residents or nationality-specific comparisons? Framework relevant to Chinese-vs-non-Chinese comparison? Enter formal literature review as housing/residential-disparity support?,housing; residential_disparity; comparison(potential),add_to_formal_literature_review,yes,partial,no,Japanese book; library access; translation needed,NDL book record R100000002-I034507615; Keio University Press; library,do not download or commit the PDF; do not assert a gap from the abstract,under-using a strong housing-disparity reference,read relevant chapters and translate,Japan-wide; not Chinese/Tokyo-specific from metadata
MFT_005,R02_CINII_015,possible_dataset_or_statistical_record,Chinese population in Chinese concentration areas in the Tokyo region (CiNii record; no author/year),NA,held; CiNii Dataset-type record; linked identifier points to a repository,P1_must_check_before_intro,may be a dataset/statistical source that affects the evidence boundary and feasibility,dataset_or_statistical_source_check,"Is it a dataset/statistical source, thesis, article, or bibliographic record? Usable data on Chinese population in Tokyo-area concentration? Move to official_source_registry, remain hold, or exclude?",chinese_residents; tokyo; population; spatial,use_for_variable_construction,unclear,partial,partial,Japanese metadata; record type ambiguous,CiNii crid 2010870916408683008 and the linked repository identifier,do not download the dataset/large files; do not commit data,misclassifying a data source as literature (or vice versa),disambiguate record type; route to registry or hold,"if confirmed as aggregated statistics, route to official_source_registry"
MFT_006,R02_JSTAGE_021,academic_literature,Homes of Chinese newcomers in a less-concentrated area of Chinese residents (Liu 2016),2016,verified_by_doi_and_metadata (source); coding held; study area unclear,P1_must_check_before_intro,scope unclear but potentially relevant to Chinese newcomers / Tokyo-region settlement,metadata_disambiguation,"Exact title, study area, population group, and method? Relevant to Chinese newcomers / ethnic community / Tokyo-region settlement? Add to literature matrix, gap matrix, or hold?",chinese_residents; segregation; area_unclear,add_to_formal_literature_review,unclear,no,no,Japanese full text; study area not clear from metadata,J-STAGE article page (DOI 10.20790/easoc.2016.8_92),do not download or commit the PDF; do not assert a gap from the abstract,missing or misplacing a potentially relevant record,translate to confirm study area and content,held in prior NDL/J-STAGE passes
MFT_007,R02_CINII_019,academic_background,Exclusion of Chinese workers and decline of concentration districts in early-Showa Tokyo (Abe 2000),2000,verified_by_doi; in literature_matrix (background),P2_check_before_formal_lit_review,historical background/comparator for Chinese concentration in Tokyo,translation_check,Confirm historical scope (1920s-30s); any contemporary relevance beyond background?,chinese_residents; tokyo; historical,use_as_background_only,no,no,no,Japanese; historical terminology,J-STAGE (DOI 10.4157/grj1984a.73.9_694),do not download or commit the PDF; do not assert a gap from the abstract,minor; over-weighting dated material,skim/translate for background framing,distinct paper from R02_JSTAGE_007
MFT_008,R02_JSTAGE_007,academic_background,Occupational structure and residential differentiation of Chinese workers in 1920s Tokyo Prefecture (Abe 1999),1999,verified_by_doi_and_metadata (Crossref); in literature_matrix (background),P2_check_before_formal_lit_review,historical residential-differentiation background,translation_check,Confirm historical scope and whether residential differentiation framing is usable as background,chinese_residents; tokyo; historical; housing(partial),use_as_background_only,no,no,no,Japanese; historical terminology,J-STAGE (DOI 10.4200/jjhg1948.51.23),do not download or commit the PDF; do not assert a gap from the abstract,minor,skim/translate for background,Japanese Journal of Human Geography 51
MFT_009,R02_JSTAGE_011,academic_literature,"Dispersed residence and ethnic community among Chinese newcomers, Shinsaibashi, Osaka (Wang 2026)",2026,verified_by_doi_and_metadata; in literature_matrix (comparator),P2_check_before_formal_lit_review,non-Tokyo Chinese-newcomer residence comparator,translation_check,Confirm Osaka scope and comparator value; any transferable method or concept for the Tokyo case?,chinese_residents; osaka(not_tokyo); concentration,use_as_background_only,no,no,no,Japanese,J-STAGE (DOI 10.4200/jjhg.78.01_023),do not download or commit the PDF; do not assert a gap from the abstract,minor,skim/translate as comparator,"study area Osaka, not Tokyo"
MFT_010,R02_NDL_087,academic_background,Forum on the education of foreign children and students: report (Saito ed. 2006),2006,verified_by_ndl_metadata (partial); in literature_matrix (background),P2_check_before_formal_lit_review,education service-access background,full_text_reading,Empirical content or forum proceedings only? Tokyo-specific relevance? Use as service/education background?,foreign_residents; service; education,use_as_background_only,no,no,partial,Japanese report; library access,NDL book record R100000001-I2711B12473132,do not download or commit the PDF; do not assert a gap from the abstract,minor,confirm content type,non-empirical report
