approval_item_id,approval_category,approval_item,required_before_derived_table,approved_by_user,current_status,blocking_if_not_approved,notes
DGAPPR_001,input,Use the local-only t2 zero-filled panel as input,YES,PENDING,proposed,YES,data_processed_official/isa_moj_panel/isa_moj_chinese_stock_t2_2023_12_2025_06.csv
DGAPPR_002,scope,Use base time 2023-12,YES,PENDING,proposed,YES,251 base rows
DGAPPR_003,scope,Use end time 2025-06,YES,PENDING,proposed,YES,251 end rows
DGAPPR_004,spatial_frame,Use the 251 Census municipality-equivalent master frame,YES,PENDING,proposed,YES,municipality sets identical across 4 time points
DGAPPR_005,variable,Absolute change as primary descriptive variable,YES,PENDING,proposed,YES,chinese_registered_change_2023_12_to_2025_06; defined for all 251
DGAPPR_006,variable,log1p change as primary model candidate,YES,PENDING,proposed,YES,chinese_registered_log1p_change_2023_12_to_2025_06; describe as log1p stock change not percent growth
DGAPPR_007,flag,Zero-base flag mandatory,YES,PENDING,proposed,YES,chinese_registered_zero_base_2023_12; 6 municipalities flagged
DGAPPR_008,variable,Percent change optional with zero-base flag,NO,PENDING,proposed,NO,feasible for 245/251 (base>0); robustness only
DGAPPR_009,variable,Raw logdiff NOT default,YES,PENDING,proposed,YES,undefined at zero base/end (6); not_recommended_default
DGAPPR_010,output,Write derived-growth table only to data_processed_official/isa_moj_panel,YES,PENDING,proposed,YES,local-only; isa_moj_t2_derived_growth_2023_12_2025_06.csv
DGAPPR_011,safety,Do not commit municipality-level derived values,YES,PENDING,proposed,YES,only compact QC summary may be committed after review
DGAPPR_012,safety,Do not commit the full local panel,YES,PENDING,proposed,YES,panel gitignored under data_processed_official
DGAPPR_013,safety,Do not run modeling,YES,PENDING,proposed,YES,no modeling before derived-table QC review
DGAPPR_014,measurement,Label as registered Chinese foreign-resident stock change,YES,PENDING,proposed,YES,not Census population growth; not causal settlement growth
DGAPPR_015,deferral,Pre-service 2015-2020 ISA growth deferred,YES,PENDING,proposed,YES,requires name->JIS crosswalk for wide07 files
DGAPPR_016,gate,User explicit approval required before any derived-table write,YES,PENDING,proposed,YES,no table-generation command until approved; script scaffold needed first
