component,source_id,source_name,provider,URL,geographic_coverage,temporal_coverage,timestamp_available,active_status_available,can_infer_2024_stock,time_validity_class,service_categories_supported,geocoding_required,municipality_code_available,reproducibility_status,legal_or_terms_risk,expected_bias,feasibility,main_model_candidate,recommended_next_action
X_chinese_stock_2023_12,DF_X01,ISA/MOJ registered Chinese foreign-resident stock 2023-12 (local four-period zero-filled panel),Immigration Services Agency / MOJ via e-Stat,local: data_processed_official/isa_moj_panel (gitignored),Greater Tokyo 251 municipalities,2023-12,YES,NA,YES,A_2024_stock,NA_predictor_X,NO,YES,strong,low,registered stock not Census population; counts registered address not actual residence,YES,YES,reuse_local_panel_2023_12_as_X
Y_chinese_stock_change,DF_Y01,"ISA/MOJ registered Chinese stock change (local panel periods 2023-12, 2024-06, 2024-12, 2025-06)",Immigration Services Agency / MOJ via e-Stat,local: data_processed_official/isa_moj_panel (gitignored),Greater Tokyo 251 municipalities,2024-06 and 2024-12 and 2025-06 available,YES,NA,YES,A_2024_stock,NA_outcome_Y,NO,YES,strong,low,6 zero-base municipalities need log1p and zero_base flag; current built DV spans 2023-12 to 2025-06 (pre-M to post) - re-specify endpoints post-M,YES,YES,rederive_Y_as_2024_12_to_2025_06_primary_and_2024_06_to_2025_06_robustness
M_service_infra_2024,DF_M01,Registered support organizations for specified skilled workers (toroku shien kikan),Immigration Services Agency,https://www.moj.go.jp/isa/ (registered support org list),National incl Greater Tokyo,registration date 2019 onward plus address plus status,YES,YES,YES,A_2024_stock,core_migrant_service;public_support_service,YES,YES,strong,low,org headquarters vs service point,YES,YES,acquire_sample_first_M_source
M_service_infra_2024,DF_M02,Real estate broker (takken) license search,MLIT and prefectures,https://etsuran.mlit.go.jp/TAKKEN/ (takken license search),National incl Greater Tokyo,license number plus license date plus active status,YES,YES,YES,A_2024_stock,core_migrant_service,YES,YES,strong,low,not all offices migrant-oriented; needs orientation marker,YES,YES,acquire_sample_housing_brokerage
M_service_infra_2024,DF_M03,Designated Japanese-language institutions list,MOJ/MEXT/Agency for Cultural Affairs,https://www.moj.go.jp/isa/ (designated language institutions),National incl Greater Tokyo,designation (kokuji) date plus address,YES,YES,YES,A_2024_stock,core_migrant_service,YES,YES,strong,low,education subset only,YES,YES,acquire_sample_language_institutions
M_service_infra_2024,DF_M04,Licensed employment placement and dispatch directory (jinzai service),MHLW,https://www.mhlw.go.jp/ (jinzai service site),National incl Greater Tokyo,permit number plus address plus status,PARTIAL,YES,YES,A_2024_stock,core_migrant_service,YES,YES,strong,low,not all offices migrant-oriented,YES,YES,acquire_sample_labor_brokerage
M_service_infra_2024,DF_M05,One-stop foreign-resident consultation centers list,Immigration Services Agency (subsidized list),https://www.moj.go.jp/isa/ (consultation centers),National by municipality,current list; established 2019 onward,PARTIAL,YES,PARTIAL,B_observable_by_2024_or_2025,public_support_service,YES,YES,strong,low,roughly one per municipality cluster,YES,YES,acquire_sample_public_support_layer
M_service_infra_2024,DF_M06,Regional international associations directory,CLAIR,https://www.clair.or.jp/ (regional intl associations),National,current directory,NO,YES,PARTIAL,B_observable_by_2024_or_2025,public_support_service,YES,YES,strong,low,sparse; one per area,PARTIAL,PARTIAL,acquire_metadata_only_robustness
M_service_infra_2024,DF_M07,gBizINFO corporate information platform / National Tax Agency corporate number,METI gBizINFO / National Tax Agency,https://info.gbiz.go.jp/,National incl Greater Tokyo,founded/update or registration dates plus current,PARTIAL,PARTIAL,PARTIAL,B_observable_by_2024_or_2025,core_migrant_service,YES,YES,medium,low,larger-firm bias; coarse industry codes; name-parse required,PARTIAL,PARTIAL,acquire_metadata_only_backbone_join
M_service_infra_2024,DF_M08,OpenStreetMap via Overpass API (observable-by-2024 element timestamps),OSM community,https://overpass-api.de/,National incl Greater Tokyo,element create and edit timestamps,YES,PARTIAL,PARTIAL,B_observable_by_2024_or_2025,core_migrant_service;visibility_service,NO,NO,medium,medium,coverage uneven; migrant marker weak; ODbL attribution/share-alike,PARTIAL,PARTIAL,acquire_sample_cross_check_layer
