source_id,check_date,checked_by,full_text_or_page_checked,manual_check_result,key_findings,confirmed_dimensions,matrix_action,gap_status_effect,citation_or_source_note,remaining_uncertainty,next_action
R02_CINII_001 / R02_JSTAGE_002,2026-06-21,Claude_local_assisted_check,official_page_checked,verified_partial_overlap,English abstract read on official J-STAGE page. Highly-educated technically-skilled Chinese in public-housing estates in the Tokyo metropolitan area; two estates (Kawaguchi Shibazono in Saitama; Oshima 4-chome in Tokyo); 10 Chinese-resident interviews; employer-assisted public housing; limited community involvement; child-rearing via visiting grandparents. Housing/public-housing + community module only; no services/transit/disaster analysis; no Chinese-vs-non-Chinese comparison.,chinese_residents=yes; metropolitan_tokyo=yes; housing=yes; public_housing=yes; service_community=partial; comparison=no; disaster=no; transit=no; full_combination=no,keep_existing_matrix_rows,strengthens_partial_module_only,"Wang & Fujii 2021, Journal of Lifology vol.40 pp.54-67, DOI 10.24528/lifology.40.0_54 (J-STAGE open abstract)",full PDF not read; service/accessibility detail beyond community involvement unconfirmed,optional full-text read; retain as housing/public-housing partial-overlap evidence
R02_CINII_022,2026-06-21,Claude_local_assisted_check,official_page_checked,verified_partial_overlap,Japanese abstract read on official J-STAGE page. Chinese white-collar housing purchase motives and preference patterns in the Tokyo metropolitan area; 22 interviews with Chinese homebuyers; economic motives (cost-performance vs renting) plus long-term settlement intention in Japan. Single housing module.,chinese_residents=yes; metropolitan_tokyo=yes; housing=yes; comparison=no; service=no; disaster=no; transit=no; full_combination=no,keep_existing_matrix_rows,strengthens_partial_module_only,"Zhang 2020, Geographical Review of Japan Ser. A 93(1):1-16, DOI 10.4157/grj.93.1 (J-STAGE)",owner-occupier subset (n=22); not representative; no spatial/accessibility analysis,retain as housing-preference partial-overlap evidence
R02_NDL_043,2026-06-21,Claude_local_assisted_check,metadata_only,verified_partial_overlap,NDL landing page returned HTTP 503 (temporary); verified from existing harvested NDL metadata. Kim 2026 book (Keio University Press): empirical analysis of residential disparity in Japan's housing market for migrants. Japan-wide; not confirmed Chinese-specific or Tokyo-specific from metadata. Commercial book; no open full text.,migrants/foreign_residents=yes; housing=yes; japan=yes; chinese_residents=unclear; metropolitan_tokyo=no; comparison=unclear; full_combination=no,keep_existing_matrix_rows,strengthens_partial_module_only,"Kim 2026, Keio University Press; NDL R100000002-I034507615; no DOI","Chinese subgroup and Tokyo specificity require the book full text; if absent, consider literature_matrix-only rather than gap_matrix",obtain the book legally via a library to confirm Chinese/Tokyo coverage
R02_CINII_018,2026-06-21,Claude_local_assisted_check,official_page_checked,verified_partial_overlap,"CiNii record confirmed (no open abstract beyond title/metadata). Takamatsu 2020 award paper on formation factors of Nishikawaguchi Chinatown, focusing on Chinese concentration areas in the Tokyo region (Nishikawaguchi, Kawaguchi, Saitama). Concentration / ethnic-community formation; housing partial; overlaps Sun 2026 enclave scope.",chinese_residents=yes; tokyo_region=partial(Saitama/greater Tokyo); concentration_community=yes; housing=partial; comparison=no; disaster=no; transit=no; full_combination=no,keep_existing_matrix_rows,strengthens_partial_module_only,"Takamatsu 2020, International Public Economy Studies no.31 pp.95-105; CiNii crid 1520859447979354112; no DOI",full text not read; opportunity/risk dimensions absent from metadata; enclave framing is Sun-2026-adjacent,retain as concentration/community partial-overlap; treat enclave framing as a Sun 2026 boundary
R02_CINII_015,2026-06-21,Claude_local_assisted_check,official_page_checked,still_unclear_hold,"CiNii record is a Dataset-type entry titled Chinese population in Chinese concentration areas in the Tokyo region; no author/year/publisher; the record page did not expose clear data provenance, and a prior pass noted the linked identifier points to an unrelated repository. Likely an aggregated population/statistical record rather than a literature article.",chinese_residents=yes(topic); tokyo_region=yes(topic); record_type=dataset_or_statistical(likely); usable_data=unclear,keep_hold,no_change_gap_under_verification,CiNii Dataset record crid 2010870916408683008 (no author/year),provenance and data usability unclear; whether it is genuine aggregated public statistics is unconfirmed,"manually open the linked identifier; if confirmed aggregated public statistics, move_or_copy_to_official_registry_later; else keep_hold or exclude"
R02_JSTAGE_021,2026-06-21,Claude_local_assisted_check,official_page_checked,verified_background_only,"English abstract read on official J-STAGE page. Liu 2016 study of the sense of Homes of Chinese newcomer adolescents in a city WITHOUT a concentrated Chinese-resident area; 6 interviews; identity/belonging, bullying/discrimination, distancing from China. Study area is an unspecified less-concentrated city (NOT identified as Metropolitan Tokyo); theme is identity/belonging, not housing/services/disaster.",chinese_residents=yes(newcomers); metropolitan_tokyo=no/unclear; housing=no; service=no; disaster=no; comparison=no; identity_belonging=yes; full_combination=no,add_to_literature_matrix_later,no_change_gap_under_verification,"Liu 2016, 21st Century East Asian Sociology no.8 p.92, DOI 10.20790/easoc.2016.8_92 (J-STAGE open abstract)",exact city not stated in abstract; appears non-Tokyo and non-housing; marginal relevance,treat as background (Chinese-newcomer identity); do not use for housing/opportunity-risk modules
R02_OFF_TGT_001,2026-06-21,Claude_local_assisted_check,official_api_or_terms_page_checked,verified_population_data_source,"P1 official-source batch. e-Stat landing (政府統計の総合窓口) and Terms-of-Use page both HTTP 200. Searchable official statistics with map display (jSTAT MAP); includes Census, Basic Resident Register, and the ISA foreign-resident statistics. Access routes: WebAPI (application ID), table/file download (CSV/Excel), catalogue search. Supports municipality-level and mesh-level area data.",population_baseline=yes; foreign_residents=yes; chinese_vs_non_chinese=partial(nationality disaggregation); area=municipality/mesh; spatial=partial(jSTAT MAP),use_for_variable_construction_later,strengthens_population_baseline_only,https://www.e-stat.go.jp/ ; terms https://www.e-stat.go.jp/terms-of-use (政府標準利用規約 / CC BY 4.0 compatible; attribution 出典 required; commercial use permitted),exact Chinese-by-municipality tables and vintage need manual selection; WebAPI key needed for programmatic access,identify exact 在留外国人統計 / Census tables by ward/municipality; confirm vintage; plan API or download (later)
R02_OFF_TGT_002,2026-06-21,Claude_local_assisted_check,official_page_checked,verified_population_data_source,P1 official-source batch. ISA 在留外国人統計（旧登録外国人統計）統計表 page HTTP 200 (出入国在留管理庁). Official foreign-resident statistics by nationality (incl. China/中国) and by prefecture/municipality; published twice a year (June/December) and distributed via e-Stat. Supports Chinese-vs-non-Chinese foreign-resident baselines for Tokyo and neighbouring prefectures.,population_baseline=yes; chinese_nationals=yes; chinese_vs_non_chinese=yes(by nationality); area=prefecture/municipality; tokyo_region=yes,use_for_variable_construction_later,strengthens_population_baseline_only,https://www.moj.go.jp/isa/policies/statistics/toukei_ichiran_touroku.html ; tables hosted on e-Stat under 政府標準利用規約 (CC BY 4.0 compatible),municipality-level Chinese counts availability vs prefecture-only for some years; confirm exact granularity and time series,extract Chinese and total-foreigner counts by ward/municipality from the e-Stat-hosted tables; confirm license per dataset
R02_OFF_TGT_005,2026-06-21,Claude_local_assisted_check,official_catalogue_checked,verified_spatial_data_source,"P1 official-source batch. 国土数値情報ダウンロードサイト HTTP 200; landing references 利用規約/利用約款/ライセンス. Provides national GIS layers relevant to the project: administrative boundaries (行政区域), railways and stations (鉄道/駅), land use (土地利用), public facilities (公共施設/医療機関/福祉施設/学校), and disaster/hazard layers (浸水想定区域 etc.). Formats: Shapefile/GeoJSON/GML by year and prefecture.",spatial=yes; transit_accessibility=yes(railways/stations); service_facilities=yes(facility layers); disaster=partial(hazard layers); housing=partial(land use),use_for_variable_construction_later,strengthens_spatial_data_feasibility_only,"https://nlftp.mlit.go.jp/ksj/ (国土数値情報 利用約款; attribution 出典 required; most layers free; confirm per-layer terms; note: /ksj/other/yakkan.html returned 404, find current terms link from the landing page)",exact layer vintages/coverage for the Tokyo region; per-layer license nuances; CRS (JGD2011) and join keys,select boundary/transit/facility/hazard layers for the Tokyo region; confirm約款 per layer; plan download (later)
R02_OFF_TGT_006,2026-06-21,Claude_local_assisted_check,official_page_checked,verified_spatial_data_source,"P1 official-source batch. GSI HOME PAGE (国土地理院) HTTP 200 (reachable via legacy-TLS option); 利用規約 present. Provides authoritative basemaps (地理院タイル), 基盤地図情報 (fundamental geospatial data: boundaries, roads, buildings), and geocoding reference. Useful as basemap/geocoding reference and as a fundamental-data source.",spatial=yes; basemap_geocoding=yes; boundaries_buildings=yes(基盤地図情報),use_for_variable_construction_later,strengthens_spatial_data_feasibility_only,https://www.gsi.go.jp/ (国土地理院 利用規約; 地理院タイル attribution required; 基盤地図情報 free with registration),tile usage terms vs 基盤地図情報 download terms; registration for 基盤地図情報; attribution wording; legacy-TLS needed to reach the server,decide basemap (tiles) vs 基盤地図情報 download; read GSI terms per product
R02_OFF_TGT_010,2026-06-21,Claude_local_assisted_check,official_page_checked,verified_disaster_or_risk_context,"P1 official-source batch. 東京都防災ホームページ (東京都総合防災部) HTTP 200. Provides evacuation information, disaster information, preparedness guidance, and TMG initiatives, including multilingual disaster information. Mainly POLICY/CONTEXT and hazard/evacuation guidance rather than a primary downloadable dataset.","disaster=yes(context); multilingual=partial; tokyo=yes; variable_construction=partial(context, not primary data)",use_for_policy_context_later,strengthens_disaster_risk_context_only,https://www.bousai.metro.tokyo.lg.jp/ (TMG site; check Tokyo open-data portal terms for any datasets),which items are downloadable data vs guidance; multilingual scope; Tokyo open-data license for any dataset,inventory hazard/evacuation/multilingual content; pair quantitative exposure with NLNI/Hazard-Portal layers
