citation_id,full_citation,authors,year,title,journal_or_source,geography,population,data_used,method,uses_registered_foreign_resident_statistics,measures_service_infrastructure,measures_subsequent_stock_change,match_class,relevance_to_design,threat_to_gap,DOI_or_URL
LIT_001,"Sun, Mingchao (2025/2026). Heterogeneous assimilation and the role of co-ethnic networks in immigrant location choices: Evidence from Tokyo. Cities, vol. 168.","Sun, Mingchao",2026,Heterogeneous assimilation and the role of co-ethnic networks in immigrant location choices: Evidence from Tokyo,Cities (Elsevier),"Greater Tokyo, 242 municipalities","Immigrants from China, Philippines, Brazil, Vietnam",Spatial panel of municipal registered foreign-resident counts 2012-2018 plus socioeconomic covariates,Dynamic spatial Durbin model (dynamic spatial panel),YES,NO,YES,B_close_match,Covers X to Y directly (prior co-ethnic Chinese stock to subsequent municipal stock) but omits the measured service-infrastructure mediator M; co-ethnic network is proxied by prior co-ethnic stock.,"high - closest competitor: same geography, registered data, dynamic stock logic for Chinese; only the explicit service mediator is absent",https://www.sciencedirect.com/science/article/pii/S0264275125007656
LIT_002,"Sun, Mingchao (2022). Impacts of Co-ethnic Networks and Socioeconomic Factors on Immigrants Residence Choice in Tokyo: A Dynamic Spatial Panel Analysis. SSRN WP 4131923.","Sun, Mingchao",2022,Impacts of Co-ethnic Networks and Socioeconomic Factors on Immigrants Residence Choice in Tokyo: A Dynamic Spatial Panel Analysis,SSRN working paper,Tokyo municipalities,Immigrants incl. Chinese in Tokyo,Municipal foreign-resident panel; co-ethnic network measures (snippet-derived; full text paywalled),Dynamic spatial panel,YES,NO,YES,B_close_match,"Working-paper precursor to LIT_001; same X to Y logic, no M.",medium - likely subsumed by LIT_001; same research line not an independent threat,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4131923
LIT_003,"Takamatsu, Hiroya (2026). Socioeconomic Adaptation Through Ethnic Business: Chinese Migrant Ethnoburb Formation in Nishi-Kawaguchi, Japan. Asia Pacific Viewpoint, 67(1), 13-25.","Takamatsu, Hiroya",2026,"Socioeconomic Adaptation Through Ethnic Business: Chinese Migrant Ethnoburb Formation in Nishi-Kawaguchi, Japan",Asia Pacific Viewpoint (Wiley),"Nishi-Kawaguchi, Saitama (suburban Greater Tokyo)",Chinese migrants and Chinese business owners,6 in-depth interviews plus secondary sources,Qualitative case study (ethnoburb framework),PARTIAL,YES,NO,B_close_match,Links Chinese concentration to ethnic-business/service infrastructure (X to M) qualitatively; no quantitative subsequent stock change.,"medium - establishes X-M link substantively but qualitatively, single site, no longitudinal stock outcome",https://doi.org/10.1111/apv.70016
LIT_004,"Takamatsu, Hiroya. Formation of New Ethnic Towns in Japan and its Effect on the Local Economy: A Case Study of Nishi-Kawaguchi Chinatown. Asia-Pacific Social Science Review, 25(1), art. 6.","Takamatsu, Hiroya",UNCLEAR,Formation of New Ethnic Towns in Japan and its Effect on the Local Economy: A Case Study of Nishi-Kawaguchi Chinatown,Asia-Pacific Social Science Review,Nishi-Kawaguchi Chinatown,Chinese migrants / ethnic businesses,"Case study, secondary plus fieldwork (unclear)",Qualitative case study,PARTIAL,YES,NO,B_close_match,"Companion piece to LIT_003 on Chinese concentration and ethnic business (X to M); local-economy effects, not stock change.",low-medium - reinforces X-M but same site/author as LIT_003,https://animorepository.dlsu.edu.ph/apssr/vol25/iss1/6/
LIT_005,"Yamashita, Kiyomi (2010-2019). Ikebukuro Chinatown (Ikebukuro chuukagai): studies of new-Chinese-migrant business district formation. Yosensha and geographical papers.","Yamashita, Kiyomi",2010,Ikebukuro Chinatown formation; mapping of new-Chinese-migrant businesses (Ikebukuro chuukagai),Yosensha (book); Geographical Review of Japan; CiNii papers,"Ikebukuro, Toshima Ward, Tokyo",New Chinese migrants (shin-kakyo),"Field survey, business mapping, descriptive distribution",Ethnic-geography case study and mapping of Chinese businesses,PARTIAL,YES,NO,B_close_match,"Foundational mapping of Chinese concentration and co-ethnic services in a Tokyo ward (X to M); descriptive, not causal/longitudinal.","low - descriptive, qualitative, older; establishes phenomenon not the causal chain",https://cir.nii.ac.jp/crid/1390001205692061824
LIT_006,"Tong, Yaqina (2019). Foreign resident characteristics and geographical distribution in Tokyo metropolis: Focusing on highly-skilled professional. Urban Geography (Toshi Chirigaku), 14, 106-114.","Tong, Yaqina",2019,Foreign resident characteristics and geographical distribution in Tokyo metropolis: Focusing on highly-skilled professional,Urban Geography / Toshi Chirigaku (J-STAGE),Tokyo metropolis; 46-prefecture comparison,"Foreign residents, esp. highly-skilled","Official foreign-resident statistics, Dec 2017",Cross-sectional descriptive distribution analysis,YES,NO,NO,C_adjacent_background,"Uses registered foreign-resident data on Tokyo distribution (X-side only); no M, no longitudinal Y.","low - snapshot distribution, no mediator, no change",https://doi.org/10.32245/urbangeography.14.0_106
LIT_007,"(2024). Factors enhancing residential satisfaction of foreign residents toward settlement: A case study of Toshima city, Tokyo, Japan. Journal of Housing and the Built Environment.",UNCLEAR (verify Springer page),2024,"Factors enhancing residential satisfaction of foreign residents toward settlement: A case study of Toshima city, Tokyo",Journal of Housing and the Built Environment (Springer),"Toshima Ward, Tokyo",Foreign residents (mixed nationality),Questionnaire survey,Structural equation modeling of satisfaction factors incl. support services,PARTIAL,YES,NO,B_close_match,"Links support services to settlement intention (M to incorporation), but survey-based, not Chinese-specific, no registered-stock Y.",low-medium - connects services to settlement but no Chinese-specific stock-change outcome,https://doi.org/10.1007/s10901-024-10160-3
LIT_008,(2025). Assessing the Accessibility of Medical Facilities with Multilingual Support for Foreign Residents in Japan: A Spatial Distribution Perspective. medRxiv preprint.,UNCLEAR (preprint),2025,Assessing the Accessibility of Medical Facilities with Multilingual Support for Foreign Residents in Japan,medRxiv preprint,"Japan, municipal level",Foreign residents (all),Multilingual medical facility locations plus foreign-resident counts; GIS,GIS accessibility indices (municipal),YES,YES,NO,B_close_match,"Couples foreign-resident stock with a migrant-oriented service infrastructure spatially (X to M for one service type); not Chinese-specific, no Y change.","low-medium - demonstrates stock-service spatial coupling method, preprint, healthcare-only, no longitudinal outcome",https://doi.org/10.1101/2025.03.24.25324566
LIT_009,"(2021). Utilizing Population Distribution Patterns for Disaster Vulnerability Assessment: Case of Foreign Residents in the Tokyo Metropolitan Area of Japan. IJERPH, 18(8), 4061.",UNCLEAR (verify MDPI),2021,Utilizing Population Distribution Patterns for Disaster Vulnerability Assessment: Case of Foreign Residents in the Tokyo Metropolitan Area,IJERPH (MDPI),Tokyo metropolitan area,Foreign residents (all),Foreign-resident distribution; GIS; segregation indicators,GIS spatial clustering / residential segregation analysis,YES,NO,NO,C_adjacent_background,"Establishes spatial clustering of foreign residents in Tokyo (X-side measurement methods); no M, no Y change.",low - methodological background on clustering only,https://www.mdpi.com/1660-4601/18/8/4061
LIT_010,"Xiang, Biao & Lindquist, Johan (2014). Migration Infrastructure. International Migration Review, 48(S1), S122-S148.","Xiang, Biao; Lindquist, Johan",2014,Migration Infrastructure,International Migration Review,East/Southeast Asia; conceptual,Low-skilled labour migrants,Long-term fieldwork,Conceptual framework (5 dimensions of migration infrastructure),NO,YES,NO,C_adjacent_background,Theoretical anchor for migrant service infrastructure as M; not Japan/Tokyo/Chinese-stock empirical.,"low - provides conceptual vocabulary, not a competing empirical design",https://doi.org/10.1111/imre.12141
