risk_id,category,label,design_component,current_status,severity_or_feasibility,explanation,requirement_for_stronger_causal_claim
IDR_001,inference_level,A_descriptive_spatial_association,"X,M,Y",supported,feasible,"Cross-sectional spatial association between Chinese stock, service infrastructure, and stock change is fully measurable with available data.",none beyond clean measurement and spatial-error handling
IDR_002,inference_level,B_temporally_ordered_association,"X(2023-12),M(2024),Y(2024-12_to_2025-06)",supported_if_endpoints_respecified,feasible,Temporal ordering X(2023) -> M(2024) -> Y(2024-12 to 2025-06) is achievable because the panel has 2024-12 and 2025-06 points; requires M to be a true 2024 stock (A-class licensed-registry sources).,"M measured as observable-by-2024 stock, not current snapshot; Y window strictly after M"
IDR_003,inference_level,C_mechanism_consistent_evidence,"M,Y",partially_supported,partial,"Mechanism (service infrastructure lowers settlement frictions) can be argued and probed with subcategory and dose-response patterns, but not proven.",subcategory heterogeneity tests; placebo services; pre-trend checks
IDR_004,inference_level,D_causal_mediation,"X,M,Y",not_supported_now,not_feasible,Formal mediation (X -> M -> Y) needs exogenous variation in M and strong no-unmeasured-confounding assumptions not currently met.,panel service data; quasi-experiment or IV for M; sensitivity analysis
IDR_005,inference_level,E_causal_effect,"M,Y",not_supported_now,not_feasible,A clean causal effect of service infrastructure on stock change is not identified with a single cross-section of M and observational stock.,exogenous service shock or policy change; DID or event study; IV
IDR_006,threat,omitted_variable_bias,"M,Y",present,high,Unobserved local amenities/co-ethnic demand drive both service location and stock change.,richer controls; municipal fixed effects in panel; IV
IDR_007,threat,reverse_causality,"X,M,Y",present,high,Prior Chinese stock attracts services (X -> M) while services attract stock (M -> Y); single cross-section cannot separate directions.,strict temporal lags; lagged-M design; panel with leads/lags
IDR_008,threat,anticipatory_service_location,"M,Y",present,medium,"Services may locate in anticipation of expected future Chinese growth, biasing M-Y association upward.",pre-trend tests; control for expected growth; event-study leads
IDR_009,threat,common_trend_shared_shock,"M,Y",present,medium,"Region-wide trends (post-COVID rebound, visa-policy shifts) move services and stock together.",time/prefecture fixed effects; DID with comparison group
IDR_010,threat,spatial_selection_bias,"X,M,Y",present,medium,Self-selection of migrants into already-serviced municipalities confounds M-Y.,selection controls; IV; matching on baseline characteristics
IDR_011,threat,timing_ambiguity_in_service_data,M,present,medium,"C_current_only sources lack reliable 2024 timestamps, so service existence by 2024 is uncertain; A-class registry dates mitigate this.",restrict M to A_2024_stock dated sources; verify license/designation dates
IDR_012,threat,modifiable_areal_unit_problem,"X,M,Y,controls",present,medium,Municipality-level aggregation can change associations versus finer units (cho-chome).,robustness at alternative spatial units; sensitivity to boundaries
IDR_013,threat,municipality_level_aggregation_bias,"X,M,Y",present,medium,"Within-municipality heterogeneity (ward vs suburb) is averaged away, attenuating mechanism signals.",finer-unit robustness; population-weighted measures
IDR_014,threat,registered_vs_actual_residence,"X,Y",present,low-medium,ISA/MOJ registered address may differ from actual residence; affects both X and Y consistently.,acknowledge measurement scope; cross-check with Census where possible
IDR_015,threat,zero_base_small_count_instability,Y,present,low-medium,6 zero-base municipalities make percent change undefined and inflate log1p sensitivity.,retain zero_base flag; log1p with robustness; report absolute change
