source_id,Chinese_citation_label,Japanese_or_English_title,author,year,source_type,language,topic_category,Japan_relevance,Tokyo_relevance,China_or_Chinese_resident_relevance,method_relevance,application_section_target,how_to_use_in_application,risk_if_used,verification_status,recommended_use,notes
MJL_A01,王・藤井(2021):首都圈公共住宅团地高学历中国籍居民的居住实态与社区参与,公的住宅団地における高学歴技術職の中国籍住民の居住実態と地域との関わりに関する研究：首都圏2団地の住民インタビュー調査から,Wang & Fujii (王・藤井),2021,journal_article,Japanese,A_zainichi_chinese_community,high,high,high,low,section_1_value_and_literature,Evidence that highly-educated Chinese-nationality residents settle in Greater Tokyo public-housing estates; supports housing/community module for Chinese residents specifically,medium,partially_verified,supporting_citation,"DOI 10.24528/lifology.40.0_54 (=R02_JSTAGE_002); CiNii+NDL verified; qualitative two-estate case, full text not read; repo id R02_CINII_001"
MJL_A02,张(2020):东京大都市圈中国白领阶层的住房购买动机与偏好,東京大都市圏における中国人ホワイトカラー層の住宅の購入動機と選好パターン,Zhang (张),2020,journal_article,Japanese,A_zainichi_chinese_community,high,high,high,low,section_1_value_and_literature,Chinese-specific residential preference / housing-choice evidence in metropolitan Tokyo; supports housing-choice and long-term-settlement framing,low,verified,core_citation,DOI 10.4157/grj.93.1; Geographical Review of Japan Ser. A 93(1):1-16; interviews n=22 owner-occupiers; repo id R02_CINII_022
MJL_A03,高松(2020):西川口华埠的形成要因——东京圈中国人集住地区,西川口チャイナタウンの形成要因に関する研究：東京圏における中国人集住地域に着目して,Takamatsu (高松),2020,journal_article,Japanese,A_zainichi_chinese_community,high,medium,high,low,section_1_value_and_literature,"Case evidence of a new Chinese residential-concentration area (Nishikawaguchi, Saitama) in the wider Tokyo region; supports networked-settlement vs classic-Chinatown narrative",medium,partially_verified,supporting_citation,No DOI; CiNii+NDL bib 032870555; award paper; study area Kawaguchi (Saitama) within Greater Tokyo; full text not read; repo id R02_CINII_018
MJL_A04,阿部(2000):昭和初期东京及周边地区中国人劳动者的排斥与集住地区衰退,昭和初期の東京とその周辺地域における中国人労働者の排除と集住地区の衰退,Abe (阿部),2000,journal_article,Japanese,A_zainichi_chinese_community,high,high,high,none,general_background,Historical depth: long-run presence and earlier concentration/exclusion of Chinese in Tokyo; background only,low,verified,background_context,DOI 10.4157/grj1984a.73.9_694; historical (1920s-30s); not contemporary; repo id R02_CINII_019
MJL_A05,阿部(1999):1920年代东京府中国人劳动者的就业结构与居住分化,1920年代の東京府における中国人労働者の就業構造と居住分化,Abe (阿部),1999,journal_article,Japanese,A_zainichi_chinese_community,high,high,high,none,general_background,Historical antecedent of occupational structure and residential differentiation among Chinese in Tokyo Prefecture; background only,low,verified,background_context,DOI 10.4200/jjhg1948.51.23; Japanese Journal of Human Geography 51(1):23-48; repo id R02_JSTAGE_007
MJL_A06,王(2026):大阪市中央区心斋桥地区中国系新移民的分散居住与族裔社区(比较案例),大阪市中央区「心斎橋地区」の中国系ニューカマーにみる分散居住とエスニック・コミュニティ,Wang (王),2026,journal_article,Japanese,A_zainichi_chinese_community,high,low,high,low,general_background,"Non-Tokyo (Osaka) comparator on dispersed residence and ethnic community of Chinese newcomers; use only as a comparative reference, not Tokyo evidence",medium,verified,background_context,DOI 10.4200/jjhg.78.01_023; study area is Osaka NOT Tokyo; repo id R02_JSTAGE_011
MJL_A07,山下清海:横滨中华街与日本各地中华街研究(待核实具体文献),山下清海 on Yokohama Chinatown and Japanese Chinatowns (specific title/year to verify),Yamashita Kiyomi (山下清海),unknown,unknown,Japanese,A_zainichi_chinese_community,high,medium,high,low,section_1_value_and_literature,Foundational Japanese geography of Chinatowns and Chinese settlement; would anchor the classic-Chinatown end of the typology IF verified,high,needs_verification,needs_verification,Named in application task list; NOT yet documented or bibliographically verified in this repo; obtain exact title/year/DOI or NDL/CiNii record before any citation; do not fabricate
MJL_A08,山下清海:池袋与新华侨新移民空间研究(待核实),山下清海 on Ikebukuro / new Chinese-immigrant (shinkakyo) spaces (specific title/year to verify),Yamashita Kiyomi (山下清海),unknown,unknown,Japanese,A_zainichi_chinese_community,high,high,high,low,section_1_value_and_literature,Would support the shift from classic Chinatown to dispersed new-immigrant (shinkakyo) spaces such as Ikebukuro IF verified,high,needs_verification,needs_verification,Named in task list; not in repo; verify exact reference before citing; do not fabricate
MJL_A09,张慧婧:东京池袋新华侨空间研究(待核实),Zhang Huijing on Tokyo Ikebukuro / new overseas-Chinese spaces (to verify),Zhang Huijing (张慧婧),unknown,unknown,unknown,A_zainichi_chinese_community,high,high,high,low,section_1_value_and_literature,Would directly support Tokyo Ikebukuro new-Chinese-space framing IF verified and documented,high,needs_verification,needs_verification,Named in task list ('if already documented'); not found in repo matrices; verify before citing
MJL_A10,陈天玺:无国籍与在日华人身份/国籍研究(待核实),Chen Tianxi on Japanese-Chinese identity / nationality / statelessness (to verify),Chen Tianxi (陈天玺),unknown,unknown,unknown,A_zainichi_chinese_community,high,medium,high,none,general_background,Identity/nationality framing for the Chinese-origin population; conceptual background IF verified,high,needs_verification,needs_verification,Named in task list; not in repo; verify exact reference before citing
MJL_A11,聂德宁;任娜与陈衍德;朱安新 等:中文学界在日中国新移民研究(待核实),"Chinese-language scholarship on new Chinese migration to Japan (Nie Dening; Ren Na & Chen Yande; Zhu Anxin, etc.) (to verify)",Nie Dening; Ren Na & Chen Yande; Zhu Anxin (聂德宁;任娜与陈衍德;朱安新),unknown,unknown,Chinese,A_zainichi_chinese_community,medium,unknown,high,none,section_1_value_and_literature,Chinese-domestic scholarship on new Chinese migration to Japan; would strengthen the domestic-research-status (国内研究现状) side IF verified,high,needs_verification,needs_verification,Named in task list; not documented in repo; obtain exact citations before use; do not fabricate
MJL_B01,"Sun(2026,Cities):东京都市圈移民居住的同族网络与空间同化(边界性文献)","Sun (2026), Cities: co-ethnic networks and spatial assimilation of immigrants in metropolitan Tokyo (242 municipalities, 2012-2018, dynamic spatial Durbin)",Sun,2026,journal_article,English,B_foreign_resident_distribution,high,high,high,high,section_1_value_and_literature,"THE boundary paper: cite to position this project as an extension toward opportunity-risk environment and Chinese-vs-non-Chinese comparison, NOT a replication; controls novelty language",high,needs_verification,core_citation,Central to positioning; full bibliographic details/DOI to confirm before formal citation; do NOT claim novelty over co-ethnic networks/spatial assimilation in Tokyo
