note_file,main_topic,Japanese_sources_mentioned,English_sources_mentioned,official_sources_mentioned,relevance_to_moe_application,application_section_target,verification_status,main_gap,recommended_action,notes
automated_discovery_next_steps.md,How the automated literature-harvest output is triaged and manually verified before entering the matrices,none (workflow note),none,none,Process/workflow control; supports the reproducibility narrative of the literature review,section_3_methods_and_data_preparation,not_relevant,"No sources; triage hints only, not evidence",Keep as internal workflow reference; do not cite as evidence,States automated categories are triage hints not findings; no novelty until verified matrix supports it
automated_literature_discovery_protocol.md,"API-based metadata discovery methodology (OpenAlex, Crossref, Semantic Scholar, optional CiNii) before manual deep review","CiNii (platform, conditional on CINII_APP_ID)",none,none,"Documents a transparent, re-runnable search pipeline; supports source-credibility/method narrative",section_3_methods_and_data_preparation,verified,Metadata only; cannot establish what a paper did or confirm a gap,Cite as reproducible literature-search method (not as evidence of a gap),No API keys stored/printed; Google Scholar never scraped; dedup by DOI then normalized title
gap_verification_protocol.md,Rules governing how the research gap may be asserted; Sun 2026 boundary; required evidence base,none named (CiNii/J-STAGE/NDL as platforms),Sun 2026 (Cities),"e-Stat, MOJ, Tokyo Metropolitan Government, MLIT, GSI",Disciplines the literature-positioning language; prevents overclaiming against Sun 2026,section_1_value_and_literature,verified,Gap remains under verification; no A_direct_overlap confirmed,Use to keep application wording cautious; do not claim filling a blank,Requires >=80 verified records and >=25 deep-read items before any final gap claim
literature_search_protocol.md,"Search sources, verification rules, and search groups for testing the provisional topic",none named (CiNii/J-STAGE as platforms),none,"e-Stat, MOJ, Tokyo Metropolitan Government, MLIT, GSI",Defines verification standard (DOI/stable URL/publisher/official source) underpinning source credibility,section_3_methods_and_data_preparation,verified,Protocol only; no sources populated,Cite verification standard when describing literature-review rigor,"No unverified references; SciSpace for discovery, manual final selection"
provisional_topic_status.md,Current working title and provisional status under literature verification; Sun 2026 caution,none,Sun 2026 (Cities),none,Anchors the differentiation framing (opportunity-risk environment vs co-ethnic network),section_1_value_and_literature,verified,Differentiation not yet evidence-confirmed,"Frame contribution as extension/differentiation, not novelty",Do not write introduction or finalize gap yet
round01_api_search_queries.md,Round 01 English API query groups with romanized Japanese hints,none (romaji query terms only),Sun 2026 (Cities) as boundary paper,none,"Shows systematic, multilingual-aware query design for the foreign research-status review",section_3_methods_and_data_preparation,verified,Query starting points only; not sources,Reference query coverage when describing review breadth,"Groups 7-12 (housing, services, disaster, opportunity-risk) are the discriminating directions vs Sun 2026"
round02_japanese_search_queries.md,"21 Japanese-language queries across 7 groups (Chinese residents, distribution, housing, disaster, services, arrival, spatial method)",none (Japanese query strings only),none,"e-Stat, ISA, Tokyo Metropolitan Government (TMG), GSI",Demonstrates Japanese-language search to reduce English-database bias; supports source-credibility narrative,section_3_methods_and_data_preparation,verified,"Queries route service items to official registry, not peer-reviewed evidence",Cite Japanese-query coverage as evidence the review is not English-only,UTF-8 Japanese strings recorded; CiNii by manual search (no CINII_APP_ID)
round02_japanese_source_search_protocol.md,"Protocol for Japanese-language and official-source search (CiNii, J-STAGE, NDL, IRDB) plus overlap coding logic",none named (CiNii/J-STAGE/NDL/IRDB platforms),Sun 2026 (Cities),"TMG, e-Stat, MOJ/ISA, MLIT, GSI, ward/city pages",Separates academic literature from official data sources; core to the data-preparation credibility argument,section_3_methods_and_data_preparation,verified,Search setup only; does not populate findings; 0 A_direct_overlap so far does not prove none exist,Cite source-handling rules (PDFs not committed; metadata/stable URLs only),Official data documented separately in official_source_registry.csv; no scraping of restricted sites
sun_2026_positioning_note.md,What Sun 2026 (Cities) already covers and how the project must extend rather than replicate it,none,Sun 2026 (Cities),none,Essential for the foreign research-status section: prevents novelty overclaim; defines extension direction,section_1_value_and_literature,verified,Sun 2026 occupies co-ethnic-network/spatial-assimilation line for Tokyo,"Position project as opportunity-risk environmental profile (housing/accessibility/services/disaster), Chinese vs non-Chinese",Avoid first-study / no-study-has-examined language
topic_selection_for_japan_canada_applications.md,"Strategic framing of the project across academic, Japan, Canada, and applied-database goals",none,Sun 2026 (Cities),"e-Stat, MOJ, Tokyo Metropolitan Government, MLIT, GSI",Background on strategic positioning; partly out of scope for the MoE application text,general_background,verified,Contains commercial/career framing that must stay internal,Keep commercial-database and applicant-career framing OUT of the application; reuse only the public-data-strength points,Do not insert applicant identity or commercial-product framing into application materials
