item_type,statement,evidence_basis,status,caution
safe_claim,The project can be positioned against Sun 2026 rather than inside the co-ethnic-network / spatial-assimilation literature.,sun_2026_positioning_note.md; audit dimensions 9-11 least-occupied,safe,"boundary, not a deficiency claim about Sun 2026"
safe_claim,"Japanese-source searches identified multiple partial-overlap records on Chinese residents, housing, ethnic communities, and service contexts.",tracking 486 rows; gap_matrix 13 B_partial; audit housing=15 service=14,safe,partial not direct; mostly single-module; full texts not read
safe_claim,Audit-stage evidence has not identified a confirmed full-combination direct-overlap record.,audit covers_full_combination=yes is 0; A_direct_overlap=0,safe,audit/metadata stage only; not proof of absence
safe_claim,"Official sources support the feasibility of public-data construction for population, spatial, housing, disaster/risk, and multilingual service context.",official_source_registry 23 rows; audit official rows 23,safe,feasibility only; licensing/usability not yet checked
safe_claim,The Chinese-vs-non-Chinese comparison is better framed as an analytical design choice than a confirmed literature gap.,audit comparison yes/partial=6 all partial; no designed comparison,safe,do not call it a confirmed gap
unsafe_claim,No study has examined this topic.,metadata/audit stage cannot prove absence,forbidden,use: audit has not yet identified a confirmed full-combination record
unsafe_claim,This is the first study / novelty is established.,novelty unproven; full-text review pending,forbidden,use: provisional differentiation pending verification
unsafe_claim,The literature lacks research on Chinese residents in Tokyo.,Chinese-resident records exist (R02_CINII_001/022/018),forbidden,use: existing records cover Chinese residents partially by single module
unsafe_claim,The research gap is confirmed.,status is gap under verification,forbidden,use: gap under verification; further checks required
unsafe_claim,Official data are fully usable; the Introduction can be written as final.,licensing/usability unchecked; evidence provisional,forbidden,use: feasibility supported; usability and drafting deferred
recommended_wording,"Chinese Residents and Opportunity-Risk Environments in Metropolitan Tokyo: A Public-Data Analysis of Housing, Accessibility, Services, and Disaster Exposure",conservative internal working title,provisional,internal/provisional; no novelty claim
recommended_wording,Compare Chinese residents vs non-Chinese foreign residents; use all foreign residents only as a background benchmark.,sun_2026_positioning_note.md; audit dimension 9,provisional,use Chinese nationals / by-nationality in data sections
sun2026_boundary,"Sun 2026 already covers immigrant location choice, spatial assimilation, co-ethnic networks, and Chinese immigrants in the Tokyo metropolitan area.",sun_2026_positioning_note.md,boundary,do not reclaim these themes as the project's gap
official_source_caution,Official sources support variable construction and policy/service context but cannot confirm an academic literature gap.,official_source_registry.csv; audit official rows,caution,GSI and Hazard Map Portal need licensing/usability checks; TSUNAGARI held
remaining_check,"Full-text/translation check of R02_CINII_001 / R02_JSTAGE_002, R02_CINII_022, R02_CINII_018, and R02_NDL_043 before formal drafting.",audit table; round02 priority verifications,pending,required before a manuscript Introduction
remaining_check,Inspect recent English-language literature published after Sun 2026 where necessary.,sun_2026_positioning_note.md,pending,metadata stage did not cover post-2026 English literature exhaustively
status,Gap under verification; not confirmed; novelty not asserted; Introduction not written.,gap_verification_protocol.md; round02 syntheses,under_verification,standing project status
