record_id,source_category,source_platform_or_registry,title_or_source_title,year,verified_status,matrix_or_registry_location,evidence_role,covers_chinese_residents,covers_foreign_residents,covers_tokyo_or_metropolitan_tokyo,covers_japan,covers_chinese_vs_non_chinese_comparison,covers_housing,covers_public_housing_or_housing_policy,covers_transit_accessibility,covers_service_accessibility,covers_multilingual_or_admin_services,covers_education_childcare_welfare_health,covers_disaster_or_risk_exposure,covers_arrival_or_settlement_infrastructure,covers_spatial_method_or_gis,covers_opportunity_risk_typology_or_mismatch,covers_full_combination,strength_for_project,limitation,next_action,notes
Sun_2026,academic_literature,external_reference (sun_2026_positioning_note.md),"Sun 2026 (Cities): immigrant location choice, spatial assimilation, co-ethnic networks; Chinese/Vietnamese/Filipino/Brazilian immigrants in the Tokyo metropolitan area (242 municipalities, 2012-2018)",2026,boundary_reference,not_in_matrices (synthesis boundary reference),sun2026_boundary_reference,yes,yes,yes,yes,partial,no,no,no,no,no,no,no,partial,yes,no,no,background,location-choice / spatial-assimilation focus; defines themes NOT to reclaim; not an opportunity-risk profile,position the project against it; check for post-2026 English literature,Not a matrix record; boundary-setting paper per sun_2026_positioning_note.md
R01_HRB_001,academic_background,CiNii/SAGE (R01),Liu-Farrer 2013: Chinese newcomers in Japan; migration trends and 2011 earthquake impact,2013,peer-reviewed (verified),gap_verification_matrix.csv + literature_matrix.csv,comparative_background,yes,yes,no,yes,no,unclear,no,no,no,no,no,yes,no,no,no,no,background,"migration profile, not Tokyo spatial, not integrated",background context,Chinese newcomers + disaster context
R01_HRB_002,academic_background,CiNii/Springer (R01),Liang 2025: residential segregation in Japan; ethnic stratification,2025,peer-reviewed (verified),gap_verification_matrix.csv + literature_matrix.csv,comparative_background,partial,yes,no,yes,partial,yes,no,no,no,no,no,no,no,partial,no,no,medium_partial,Japan-wide; not integrated; multiple groups,positioning vs segregation literature,segregation comparator
R01_HRB_003,academic_background,CiNii/Wiley (R01),Liu-Farrer 2009: education-channeled labor mobility; Chinese student migration to Japan,2009,peer-reviewed (verified),gap_verification_matrix.csv + literature_matrix.csv,comparative_background,yes,yes,no,yes,no,no,no,no,no,no,no,no,partial,no,no,no,background,student-migration channel; not spatial/Tokyo,background,migration-channel background
R01_RB_004,academic_literature,MDPI/Crossref (R01),Adu-Gyamfi & Shaw 2021: disaster vulnerability of foreign residents in the Tokyo area,2021,peer-reviewed (verified),gap_verification_matrix.csv + literature_matrix.csv,disaster_risk_module_support,no,yes,yes,yes,unclear,no,no,no,no,no,no,yes,no,yes,no,no,medium_partial,not Chinese-specific; single (disaster) module,compare against project disaster layer,closest spatial disaster comparator for Tokyo
R01_RB_005,academic_literature,Elsevier/Crossref (R01),"Sugasawa & Harano 2023: field experiment on rental discrimination against foreigners, Tokyo 23 wards",2023,peer-reviewed (verified),gap_verification_matrix.csv + literature_matrix.csv,housing_module_support,no,yes,yes,yes,no,yes,partial,no,no,no,no,no,no,no,no,no,medium_partial,"foreigner-vs-native, not Chinese-specific; single module",confirm Chinese subgroup in full text,anchors housing-discrimination module
R01_RB_006,academic_literature,Elsevier/Crossref (R01),"Suzuki et al. 2022: discrimination against atypical tenants, Tokyo private rental market",2022,peer-reviewed (verified),gap_verification_matrix.csv + literature_matrix.csv,housing_module_support,no,partial,yes,yes,no,yes,partial,no,no,no,no,no,no,no,no,no,medium_partial,foreign/Chinese focus not isolated; single module,confirm foreign-tenant focus,housing-module comparator
R01_RB_007,academic_literature,Springer/Crossref (R01),"Lim et al. 2024: residential satisfaction of foreign residents, Toshima City, Tokyo",2024,peer-reviewed (verified),gap_verification_matrix.csv + literature_matrix.csv,housing_module_support,unclear,yes,yes,yes,unclear,yes,partial,no,unclear,no,partial,no,partial,no,no,no,medium_partial,single ward; not Chinese-specific,check Chinese subgroup,links housing to settlement environment
R01_RB_008,academic_background,J-STAGE/FujiPress (R01),Albini & Satake 2023: foreign residents in Yokohama and Tokyo during the 1923 Kanto earthquake,2023,peer-reviewed (verified),gap_verification_matrix.csv + literature_matrix.csv,historical_background,unclear,yes,yes,yes,unclear,no,no,no,no,no,no,yes,no,no,no,no,background,historical (1923); qualitative,verify Chinese among documented,historical disaster-exposure framing
R01_RB_013,academic_literature,Elsevier/Crossref (R01),"Sugasawa & Harano 2026: transaction-stage vs management-stage rental discrimination, Tokyo",2026,peer-reviewed (verified),gap_verification_matrix.csv + literature_matrix.csv,housing_module_support,unclear,yes,yes,yes,no,yes,partial,no,no,no,no,no,no,no,no,no,medium_partial,single module; target group to confirm,confirm Chinese applicants,recent housing-discrimination comparator
